07/11/18 20:30:02:929 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 6188 | GC Client path = /Library/Application Support/Adobe/AdobeGCClient/AdobeGCClient.app/Contents/MacOS/AdobeGCClient
07/11/18 20:30:02:929 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 6188 | Argument 1 is  = --xmlFilePath=/tmp/adobegc_rPsQro
07/11/18 20:30:02:929 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 6188 | Argument 2 is = --workflowInitiator=GCInvokerUtility
07/11/18 20:30:12:346 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 6971 | *********** Adobe GCClient Launched = 5.0.0.950 ************
07/11/18 20:30:12:346 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 6971 | Inside GetCommandLineData
07/11/18 20:30:12:346 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 6971 | Initiating workflow
07/11/18 20:30:12:346 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 6971 | Client request processing started
07/11/18 20:30:12:347 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 6971 | Mutex acquired, continue with the workflow
07/11/18 20:30:12:348 | [INFO] |  |  |  | AdobeGCClientImpl |  |  | 6971 | Initializing client workflow
07/11/18 20:30:12:348 | [DEBUG] |  |  |  | AdobeGCClientImpl |  |  | 6971 | Trying to acquire the semaphore
07/11/18 20:30:12:348 | [DEBUG] |  |  |  | AdobeGCClientImpl |  |  | 6971 | Semaphore acquired
07/11/18 20:30:12:353 | [DEBUG] |  |  |  | AdobeGCClientImpl |  |  | 6971 | AdobeGCClient invoked from Scheduler entry, sleeping for 5 minutes to avoid disk overusage
07/11/18 20:30:32:945 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 6188 | Invoking GC client completed
07/11/18 20:30:32:945 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 6188 | SaveGCInvokerNextLaunchTimestamp 
07/11/18 20:30:32:945 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 6188 | SaveGCInvokerNextLaunchTimestamp Wait Period 86400
07/11/18 20:30:32:983 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 6188 | SaveGCInvokerNextLaunchTimestamp Wait Period Xtnd 1531445432
07/11/18 20:30:32:983 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 6188 | Perform WF completed
07/11/18 20:30:32:983 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 6188 | Semaphore signalled
07/11/18 20:30:32:983 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 6188 | ***********AdobeGC Updater library End*******************
07/11/18 20:30:32:983 | [ERROR] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 6188 | AdobeGCInvokerUtility : AdobeGC_ReleaseRef called.
07/11/18 20:30:32:983 | [ERROR] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 6188 | AdobeGCInvokerUtility : inside finalize.
07/11/18 20:30:32:983 | [ERROR] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 6188 | AdobeGCInvokerUtility : unloaded goCart library
07/11/18 20:30:51:827 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 6186 | ***********AdobeGC Updater library invoked = 5.0.0.950 ************
